yardline_100,norm_field_goal_percent,norm_diff_field_goal_percent,norm_diff_blocked_percent,field_goal_attempt,desc,field_goal_result,return_yards,play_duration
38.0,0.525,0.38500237304224005,0.5,1.0,"(2:30) 9-J.Tucker 56 yard field goal is No Good, Wide Left, Center-46-N.Moore, Holder-11-J.Stout.",missed,0.0,5.0
33.0,0.7149999999999999,0.49005871966492826,0.3821428571428571,1.0,"(1:42) 2-D.Carlson 51 yard field goal is GOOD, Center-50-J.Bobenmoyer, Holder-6-A.Cole.",made,0.0,5.0
14.0,0.525,0.38500237304224005,0.5,1.0,"(:07) 9-J.Tucker 32 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",made,0.0,4.0
6.0,0.7149999999999999,0.49005871966492826,0.3821428571428571,1.0,"(9:24) 2-D.Carlson 25 yard field goal is GOOD, Center-50-J.Bobenmoyer, Holder-6-A.Cole.",made,0.0,3.0
20.0,0.7149999999999999,0.49005871966492826,0.3821428571428571,1.0,"(:31) 2-D.Carlson 38 yard field goal is GOOD, Center-50-J.Bobenmoyer, Holder-6-A.Cole.",made,0.0,4.0
34.0,0.7170212765957447,0.6565922674562354,0.4737841945288754,1.0,"(4:19) 17-B.Aubrey 52 yard field goal is GOOD, Center-44-T.Sieg, Holder-5-B.Anger.",made,0.0,5.0
20.0,0.7170212765957447,0.6565922674562354,0.4737841945288754,1.0,"(11:42) 17-B.Aubrey 38 yard field goal is GOOD, Center-44-T.Sieg, Holder-5-B.Anger.",made,0.0,3.0
30.0,0.7170212765957447,0.6565922674562354,0.4737841945288754,1.0,"(:05) 17-B.Aubrey 48 yard field goal is GOOD, Center-44-T.Sieg, Holder-5-B.Anger.",made,0.0,5.0
22.0,0.7170212765957447,0.6565922674562354,0.4737841945288754,1.0,"(9:08) 17-B.Aubrey 40 yard field goal is GOOD, Center-44-T.Sieg, Holder-5-B.Anger.",made,0.0,3.0
8.0,0.7548387096774193,0.43046852543834435,0.6290322580645161,1.0,"(5:15) 19-B.Grupe 26 yard field goal is GOOD, Center-49-Z.Wood, Holder-43-M.Hayball.",made,0.0,4.0
9.0,0.6579999999999998,0.6261263643637887,0.35702702702702704,1.0,"(5:27) 3-A.Seibert 27 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",made,0.0,3.0
27.0,0.6579999999999998,0.6261263643637887,0.35702702702702704,1.0,"(10:41) 3-A.Seibert 45 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",made,0.0,4.0
8.0,0.6579999999999998,0.6261263643637887,0.35702702702702704,1.0,"(1:53) 3-A.Seibert 26 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",made,0.0,3.0
9.0,0.6579999999999998,0.6261263643637887,0.35702702702702704,1.0,"(8:01) 3-A.Seibert 27 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",made,0.0,3.0
11.0,0.6579999999999998,0.6261263643637887,0.35702702702702704,1.0,"(2:50) 3-A.Seibert 29 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",made,0.0,3.0
15.0,0.6579999999999998,0.6261263643637887,0.35702702702702704,1.0,"(7:16) 3-A.Seibert 33 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",made,0.0,4.0
12.0,0.6579999999999998,0.6261263643637887,0.35702702702702704,1.0,"(:04) 3-A.Seibert 30 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",made,0.0,4.0
23.0,0.8592592592592592,0.5408256036597513,0.5,1.0,"(:03) 6-N.Folk 41 yard field goal is GOOD, Center-46-M.Cox, Holder-4-R.Stonehouse.",made,0.0,3.0
15.0,0.45714285714285713,0.42074487742783223,0.6428571428571428,1.0,"(6:01) 9-G.Zuerlein 33 yard field goal is GOOD, Center-42-T.Hennessy, Holder-6-T.Morstead.",made,0.0,3.0
4.0,0.8704545454545453,0.5734609678271649,0.5909090909090909,1.0,"(:02) 9-C.Boswell 22 yard field goal is GOOD, Center-46-C.Kuntz, Holder-8-C.Waitman.",made,0.0,2.0
35.0,0.8704545454545453,0.5734609678271649,0.5909090909090909,1.0,"(4:20) 9-C.Boswell 53 yard field goal is GOOD, Center-46-C.Kuntz, Holder-8-C.Waitman.",made,0.0,4.0
16.0,0.7828571428571427,0.6905573950816836,0.36428571428571427,1.0,"(10:45) 3-W.Lutz 35 yard field goal is GOOD, Center-48-M.Fraboni, Holder-9-R.Dixon.",made,0.0,3.0
